"date","median_ndvi","landsat","year","month","day"
2001-02-24,0.0971784330904484,"Landsat7 (ETM+)",2001,2,24
2001-03-01,0.097180574113203,"Landsat7 (ETM+)",2001,3,1
2001-03-06,0.097184897371046,"Landsat7 (ETM+)",2001,3,6
2001-03-11,0.0971943032894288,"Landsat7 (ETM+)",2001,3,11
2001-03-16,0.0972116922938022,"Landsat7 (ETM+)",2001,3,16
2001-03-21,0.0972399648096173,"Landsat7 (ETM+)",2001,3,21
2001-03-26,0.0972820212623253,"Landsat7 (ETM+)",2001,3,26
2001-03-31,0.0973407620773773,"Landsat7 (ETM+)",2001,3,31
2001-04-05,0.0974190876802242,"Landsat7 (ETM+)",2001,4,5
2001-04-10,0.0975198984963172,"Landsat7 (ETM+)",2001,4,10
2001-04-15,0.0976460949511074,"Landsat7 (ETM+)",2001,4,15
2001-04-20,0.0978005774700458,"Landsat7 (ETM+)",2001,4,20
2001-04-25,0.0994194869368411,"Landsat7 (ETM+)",2001,4,25
2001-04-30,0.105012953574552,"Landsat7 (ETM+)",2001,4,30
2001-05-05,0.113847832269559,"Landsat7 (ETM+)",2001,5,5
2001-05-10,0.125095859285185,"Landsat7 (ETM+)",2001,5,10
2001-05-15,0.137928770884755,"Landsat7 (ETM+)",2001,5,15
2001-05-20,0.151518303331593,"Landsat7 (ETM+)",2001,5,20
2001-05-25,0.165036192889024,"Landsat7 (ETM+)",2001,5,25
2001-05-30,0.17765417582037,"Landsat7 (ETM+)",2001,5,30
2001-06-04,0.188543988388957,"Landsat7 (ETM+)",2001,6,4
2001-06-09,0.196896627052007,"Landsat7 (ETM+)",2001,6,9
2001-06-14,0.20290196222777,"Landsat7 (ETM+)",2001,6,14
2001-06-19,0.207463821041529,"Landsat7 (ETM+)",2001,6,19
2001-06-24,0.211347888741229,"Landsat7 (ETM+)",2001,6,24
2001-06-29,0.215319850574816,"Landsat7 (ETM+)",2001,6,29
2001-07-04,0.220013376853937,"Landsat7 (ETM+)",2001,7,4
2001-07-09,0.224744076608829,"Landsat7 (ETM+)",2001,7,9
2001-07-14,0.229321820541373,"Landsat7 (ETM+)",2001,7,14
2001-07-19,0.233811463112925,"Landsat7 (ETM+)",2001,7,19
2001-07-24,0.238277858784841,"Landsat7 (ETM+)",2001,7,24
2001-07-29,0.24278586201848,"Landsat7 (ETM+)",2001,7,29
2001-08-03,0.247400327275197,"Landsat7 (ETM+)",2001,8,3
2001-08-08,0.25218610901635,"Landsat7 (ETM+)",2001,8,8
2001-08-13,0.257208061703296,"Landsat7 (ETM+)",2001,8,13
2001-08-18,0.262531039797391,"Landsat7 (ETM+)",2001,8,18
2001-08-23,0.268219897759992,"Landsat7 (ETM+)",2001,8,23
2001-08-28,0.274339490052455,"Landsat7 (ETM+)",2001,8,28
2001-09-02,0.280954671136139,"Landsat7 (ETM+)",2001,9,2
2001-09-07,0.28962676482297,"Landsat7 (ETM+)",2001,9,7
2001-09-12,0.298307418823242,"Landsat7 (ETM+)",2001,9,12
2001-09-17,0.296341828350705,"Landsat7 (ETM+)",2001,9,17
2001-09-22,0.290436352992518,"Landsat7 (ETM+)",2001,9,22
2001-09-27,0.28387511375621,"Landsat7 (ETM+)",2001,9,27
2001-10-02,0.276613845055224,"Landsat7 (ETM+)",2001,10,2
2001-10-07,0.26875317943787,"Landsat7 (ETM+)",2001,10,7
2001-10-12,0.260393749452458,"Landsat7 (ETM+)",2001,10,12
2001-10-17,0.251636187647298,"Landsat7 (ETM+)",2001,10,17
2001-10-22,0.242581126570702,"Landsat7 (ETM+)",2001,10,22
2001-10-27,0.233329198770978,"Landsat7 (ETM+)",2001,10,27
2001-11-01,0.223981036796438,"Landsat7 (ETM+)",2001,11,1
2001-11-06,0.214637273195392,"Landsat7 (ETM+)",2001,11,6
2001-11-11,0.205398540516151,"Landsat7 (ETM+)",2001,11,11
2001-11-16,0.196365471307024,"Landsat7 (ETM+)",2001,11,16
2001-11-21,0.187638698116323,"Landsat7 (ETM+)",2001,11,21
2001-11-26,0.179318853492357,"Landsat7 (ETM+)",2001,11,26
2001-12-01,0.171506569983437,"Landsat7 (ETM+)",2001,12,1
2001-12-06,0.164302480137874,"Landsat7 (ETM+)",2001,12,6
2001-12-11,0.157811962049891,"Landsat7 (ETM+)",2001,12,11
2001-12-16,0.15210409097123,"Landsat7 (ETM+)",2001,12,16
2001-12-21,0.147073055355576,"Landsat7 (ETM+)",2001,12,21
2001-12-26,0.142588507354503,"Landsat7 (ETM+)",2001,12,26
2001-12-31,0.138520099119584,"Landsat7 (ETM+)",2001,12,31
2002-01-05,0.134737482802393,"Landsat7 (ETM+)",2002,1,5
2002-01-10,0.131110310554504,"Landsat7 (ETM+)",2002,1,10
2002-01-15,0.127447950462552,"Landsat7 (ETM+)",2002,1,15
