"date","median_ndvi","landsat","ndvi_interp","year","month","day"
2001-04-01,NA,NA,0.0967798944976594,2001,4,1
2001-04-06,NA,NA,0.0970437017579873,2001,4,6
2001-04-11,NA,NA,0.0973075090183152,2001,4,11
2001-04-16,NA,NA,0.097571316278643,2001,4,16
2001-04-21,0.0978351235389709,"Landsat4/5 (TM)",0.0978351235389709,2001,4,21
2001-04-26,NA,"Landsat4/5 (TM)",0.0980989307992988,2001,4,26
2001-05-01,NA,"Landsat4/5 (TM)",0.0983627380596267,2001,5,1
2001-05-06,NA,"Landsat4/5 (TM)",0.0986265453199545,2001,5,6
2001-05-11,NA,"Landsat4/5 (TM)",0.0988903525802824,2001,5,11
2001-05-16,NA,"Landsat4/5 (TM)",0.0991541598406103,2001,5,16
2001-05-21,NA,"Landsat4/5 (TM)",0.0994179671009382,2001,5,21
2001-05-26,NA,"Landsat4/5 (TM)",0.099681774361266,2001,5,26
2001-05-31,NA,"Landsat4/5 (TM)",0.0999455816215939,2001,5,31
2001-06-05,NA,"Landsat4/5 (TM)",0.100209388881922,2001,6,5
2001-06-10,NA,"Landsat4/5 (TM)",0.10047319614225,2001,6,10
2001-06-15,NA,"Landsat4/5 (TM)",0.100737003402578,2001,6,15
2001-06-20,NA,"Landsat4/5 (TM)",0.101000810662905,2001,6,20
2001-06-25,NA,"Landsat4/5 (TM)",0.101264617923233,2001,6,25
2001-06-30,NA,"Landsat4/5 (TM)",0.101528425183561,2001,6,30
2001-07-05,NA,"Landsat4/5 (TM)",0.101792232443889,2001,7,5
2001-07-10,NA,"Landsat4/5 (TM)",0.102056039704217,2001,7,10
2001-07-15,NA,"Landsat4/5 (TM)",0.102319846964545,2001,7,15
2001-07-20,NA,"Landsat4/5 (TM)",0.102583654224873,2001,7,20
2001-07-25,NA,"Landsat4/5 (TM)",0.102847461485201,2001,7,25
2001-07-30,NA,"Landsat4/5 (TM)",0.103111268745528,2001,7,30
2001-08-04,NA,"Landsat4/5 (TM)",0.103375076005856,2001,8,4
2001-08-09,NA,"Landsat4/5 (TM)",0.103638883266184,2001,8,9
2001-08-14,NA,"Landsat4/5 (TM)",0.103902690526512,2001,8,14
2001-08-19,NA,"Landsat4/5 (TM)",0.10416649778684,2001,8,19
2001-08-24,NA,"Landsat4/5 (TM)",0.104430305047168,2001,8,24
2001-08-29,NA,"Landsat4/5 (TM)",0.104694112307496,2001,8,29
2001-09-03,NA,"Landsat4/5 (TM)",0.104957919567824,2001,9,3
2001-09-08,NA,"Landsat4/5 (TM)",0.105221726828151,2001,9,8
2001-09-13,NA,"Landsat4/5 (TM)",0.105485534088479,2001,9,13
2001-09-18,NA,"Landsat4/5 (TM)",0.105749341348807,2001,9,18
2001-09-23,NA,"Landsat4/5 (TM)",0.106013148609135,2001,9,23
2001-09-28,NA,"Landsat4/5 (TM)",0.106276955869463,2001,9,28
2001-10-03,NA,"Landsat4/5 (TM)",0.106540763129791,2001,10,3
2001-10-08,NA,"Landsat4/5 (TM)",0.106804570390119,2001,10,8
2001-10-13,NA,"Landsat4/5 (TM)",0.107068377650447,2001,10,13
2001-10-18,NA,"Landsat4/5 (TM)",0.107332184910774,2001,10,18
2001-10-23,NA,"Landsat4/5 (TM)",0.107595992171102,2001,10,23
2001-10-28,NA,"Landsat4/5 (TM)",0.10785979943143,2001,10,28
2001-11-02,NA,"Landsat4/5 (TM)",0.108123606691758,2001,11,2
2001-11-07,NA,"Landsat4/5 (TM)",0.108387413952086,2001,11,7
2001-11-12,NA,"Landsat4/5 (TM)",0.108651221212414,2001,11,12
2001-11-17,NA,"Landsat4/5 (TM)",0.108915028472742,2001,11,17
2001-11-22,NA,"Landsat4/5 (TM)",0.10917883573307,2001,11,22
2001-11-27,NA,"Landsat4/5 (TM)",0.109442642993397,2001,11,27
2001-12-02,NA,"Landsat4/5 (TM)",0.109706450253725,2001,12,2
2001-12-07,NA,"Landsat4/5 (TM)",0.109970257514053,2001,12,7
2001-12-12,NA,"Landsat4/5 (TM)",0.110234064774381,2001,12,12
2001-12-17,NA,"Landsat4/5 (TM)",0.110497872034709,2001,12,17
2001-12-22,NA,"Landsat4/5 (TM)",0.110761679295037,2001,12,22
2001-12-27,NA,"Landsat4/5 (TM)",0.111025486555365,2001,12,27
2002-01-01,NA,"Landsat4/5 (TM)",0.111289293815693,2002,1,1
2002-01-06,NA,"Landsat4/5 (TM)",0.11155310107602,2002,1,6
2002-01-11,NA,"Landsat4/5 (TM)",0.111816908336348,2002,1,11
2002-01-16,NA,"Landsat4/5 (TM)",0.112080715596676,2002,1,16
2002-01-21,NA,"Landsat4/5 (TM)",0.112344522857004,2002,1,21
2002-01-26,NA,"Landsat4/5 (TM)",0.112608330117332,2002,1,26
2002-01-31,NA,"Landsat4/5 (TM)",0.11287213737766,2002,1,31
2002-02-05,NA,"Landsat4/5 (TM)",0.113135944637988,2002,2,5
2002-02-10,NA,"Landsat4/5 (TM)",0.113399751898316,2002,2,10
2002-02-15,NA,"Landsat4/5 (TM)",0.113663559158643,2002,2,15
2002-02-20,NA,"Landsat4/5 (TM)",0.113927366418971,2002,2,20
2002-02-25,NA,"Landsat4/5 (TM)",0.114191173679299,2002,2,25
2002-03-02,NA,"Landsat4/5 (TM)",0.114454980939627,2002,3,2
2002-03-07,NA,"Landsat4/5 (TM)",0.114718788199955,2002,3,7
2002-03-12,NA,"Landsat4/5 (TM)",0.114982595460283,2002,3,12
2002-03-17,NA,"Landsat4/5 (TM)",0.115246402720611,2002,3,17
2002-03-22,NA,"Landsat4/5 (TM)",0.115510209980939,2002,3,22
2002-03-27,NA,"Landsat4/5 (TM)",0.115774017241266,2002,3,27
2002-04-01,NA,"Landsat4/5 (TM)",0.116037824501594,2002,4,1
2002-04-06,NA,"Landsat4/5 (TM)",0.116301631761922,2002,4,6
2002-04-11,NA,"Landsat4/5 (TM)",0.11656543902225,2002,4,11
2002-04-16,0.116829246282578,"Landsat7 (ETM+)",0.116829246282578,2002,4,16
2002-04-21,NA,"Landsat7 (ETM+)",0.117093053542906,2002,4,21
2002-04-26,NA,"Landsat7 (ETM+)",0.117356860803234,2002,4,26
