"date","median_ndvi","landsat","ndvi_interp","year","month","day"
2001-04-01,NA,NA,NA,2001,4,1
2001-04-06,NA,NA,NA,2001,4,6
2001-04-11,NA,NA,NA,2001,4,11
2001-04-16,NA,NA,NA,2001,4,16
2001-04-21,0.102366454899311,"Landsat4/5 (TM)",0.102366454899311,2001,4,21
2001-04-26,NA,"Landsat4/5 (TM)",0.102473375749671,2001,4,26
2001-05-01,NA,"Landsat4/5 (TM)",0.10258029660003,2001,5,1
2001-05-06,NA,"Landsat4/5 (TM)",0.10268721745039,2001,5,6
2001-05-11,NA,"Landsat4/5 (TM)",0.10279413830075,2001,5,11
2001-05-16,NA,"Landsat4/5 (TM)",0.10290105915111,2001,5,16
2001-05-21,NA,"Landsat4/5 (TM)",0.103007980001469,2001,5,21
2001-05-26,NA,"Landsat4/5 (TM)",0.103114900851829,2001,5,26
2001-05-31,NA,"Landsat4/5 (TM)",0.103221821702189,2001,5,31
2001-06-05,NA,"Landsat4/5 (TM)",0.103328742552549,2001,6,5
2001-06-10,NA,"Landsat4/5 (TM)",0.103435663402908,2001,6,10
2001-06-15,NA,"Landsat4/5 (TM)",0.103542584253268,2001,6,15
2001-06-20,NA,"Landsat4/5 (TM)",0.103649505103628,2001,6,20
2001-06-25,NA,"Landsat4/5 (TM)",0.103756425953988,2001,6,25
2001-06-30,NA,"Landsat4/5 (TM)",0.103863346804347,2001,6,30
2001-07-05,NA,"Landsat4/5 (TM)",0.103970267654707,2001,7,5
2001-07-10,NA,"Landsat4/5 (TM)",0.104077188505067,2001,7,10
2001-07-15,NA,"Landsat4/5 (TM)",0.104184109355427,2001,7,15
2001-07-20,NA,"Landsat4/5 (TM)",0.104291030205786,2001,7,20
2001-07-25,NA,"Landsat4/5 (TM)",0.104397951056146,2001,7,25
2001-07-30,NA,"Landsat4/5 (TM)",0.104504871906506,2001,7,30
2001-08-04,NA,"Landsat4/5 (TM)",0.104611792756865,2001,8,4
2001-08-09,NA,"Landsat4/5 (TM)",0.104718713607225,2001,8,9
2001-08-14,NA,"Landsat4/5 (TM)",0.104825634457585,2001,8,14
2001-08-19,NA,"Landsat4/5 (TM)",0.104932555307945,2001,8,19
2001-08-24,NA,"Landsat4/5 (TM)",0.105039476158304,2001,8,24
2001-08-29,NA,"Landsat4/5 (TM)",0.105146397008664,2001,8,29
2001-09-03,NA,"Landsat4/5 (TM)",0.105253317859024,2001,9,3
2001-09-08,NA,"Landsat4/5 (TM)",0.105360238709384,2001,9,8
2001-09-13,NA,"Landsat4/5 (TM)",0.105467159559743,2001,9,13
2001-09-18,NA,"Landsat4/5 (TM)",0.105574080410103,2001,9,18
2001-09-23,NA,"Landsat4/5 (TM)",0.105681001260463,2001,9,23
2001-09-28,NA,"Landsat4/5 (TM)",0.105787922110823,2001,9,28
2001-10-03,NA,"Landsat4/5 (TM)",0.105894842961182,2001,10,3
2001-10-08,NA,"Landsat4/5 (TM)",0.106001763811542,2001,10,8
2001-10-13,NA,"Landsat4/5 (TM)",0.106108684661902,2001,10,13
2001-10-18,NA,"Landsat4/5 (TM)",0.106215605512262,2001,10,18
2001-10-23,NA,"Landsat4/5 (TM)",0.106322526362621,2001,10,23
2001-10-28,NA,"Landsat4/5 (TM)",0.106429447212981,2001,10,28
2001-11-02,NA,"Landsat4/5 (TM)",0.106536368063341,2001,11,2
2001-11-07,NA,"Landsat4/5 (TM)",0.1066432889137,2001,11,7
2001-11-12,NA,"Landsat4/5 (TM)",0.10675020976406,2001,11,12
2001-11-17,NA,"Landsat4/5 (TM)",0.10685713061442,2001,11,17
