"date","median_ndvi","landsat","year","month","day"
2001-04-21,0.10241849347949,"Landsat7 (ETM+)",2001,4,21
2001-04-26,0.123666307159022,"Landsat7 (ETM+)",2001,4,26
2001-05-01,0.145157837403665,"Landsat7 (ETM+)",2001,5,1
2001-05-06,0.166782303956552,"Landsat7 (ETM+)",2001,5,6
2001-05-11,0.188428926560812,"Landsat7 (ETM+)",2001,5,11
2001-05-16,0.209986924959577,"Landsat7 (ETM+)",2001,5,16
2001-05-21,0.231345518895978,"Landsat7 (ETM+)",2001,5,21
2001-05-26,0.252393928113145,"Landsat7 (ETM+)",2001,5,26
2001-05-31,0.27302137235421,"Landsat7 (ETM+)",2001,5,31
2001-06-05,0.293117071362303,"Landsat7 (ETM+)",2001,6,5
2001-06-10,0.312874365087029,"Landsat7 (ETM+)",2001,6,10
2001-06-15,0.33418836493446,"Landsat7 (ETM+)",2001,6,15
2001-06-20,0.355309743667021,"Landsat7 (ETM+)",2001,6,20
2001-06-25,0.373656638639254,"Landsat7 (ETM+)",2001,6,25
2001-06-30,0.386647187205704,"Landsat7 (ETM+)",2001,6,30
2001-07-05,0.392511437101859,"Landsat7 (ETM+)",2001,7,5
2001-07-10,0.393438695978451,"Landsat7 (ETM+)",2001,7,10
2001-07-15,0.390477703531758,"Landsat7 (ETM+)",2001,7,15
2001-07-20,0.384405932681602,"Landsat7 (ETM+)",2001,7,20
2001-07-25,0.376000856347806,"Landsat7 (ETM+)",2001,7,25
2001-07-30,0.36603994745019,"Landsat7 (ETM+)",2001,7,30
2001-08-04,0.355300678908578,"Landsat7 (ETM+)",2001,8,4
2001-08-09,0.344560523642789,"Landsat7 (ETM+)",2001,8,9
2001-08-14,0.334596954572647,"Landsat7 (ETM+)",2001,8,14
2001-08-19,0.326187444617972,"Landsat7 (ETM+)",2001,8,19
2001-08-24,0.320109466698588,"Landsat7 (ETM+)",2001,8,24
2001-08-29,0.317140493734315,"Landsat7 (ETM+)",2001,8,29
2001-09-03,0.318057998644975,"Landsat7 (ETM+)",2001,9,3
2001-09-08,0.330333187361248,"Landsat7 (ETM+)",2001,9,8
2001-09-13,0.340197046790854,"Landsat7 (ETM+)",2001,9,13
2001-09-18,0.326808081730269,"Landsat7 (ETM+)",2001,9,18
2001-09-23,0.317368690512223,"Landsat7 (ETM+)",2001,9,23
2001-09-28,0.310223075475543,"Landsat7 (ETM+)",2001,9,28
2001-10-03,0.303779704554974,"Landsat7 (ETM+)",2001,10,3
2001-10-08,0.297973156652471,"Landsat7 (ETM+)",2001,10,8
2001-10-13,0.292738010669993,"Landsat7 (ETM+)",2001,10,13
2001-10-18,0.288008845509495,"Landsat7 (ETM+)",2001,10,18
2001-10-23,0.283720240072936,"Landsat7 (ETM+)",2001,10,23
2001-10-28,0.279806773262273,"Landsat7 (ETM+)",2001,10,28
2001-11-02,0.276203023979462,"Landsat7 (ETM+)",2001,11,2
2001-11-07,0.272843571126461,"Landsat7 (ETM+)",2001,11,7
2001-11-12,0.269662993605227,"Landsat7 (ETM+)",2001,11,12
2001-11-17,0.266595870317717,"Landsat7 (ETM+)",2001,11,17
2001-11-22,0.263576780165888,"Landsat7 (ETM+)",2001,11,22
2001-11-27,0.260540302051697,"Landsat7 (ETM+)",2001,11,27
2001-12-02,0.257421014877102,"Landsat7 (ETM+)",2001,12,2
2001-12-07,0.254153497544059,"Landsat7 (ETM+)",2001,12,7
2001-12-12,0.250872321642737,"Landsat7 (ETM+)",2001,12,12
2001-12-17,0.248232971900143,"Landsat7 (ETM+)",2001,12,17
2001-12-22,0.2460278533998,"Landsat7 (ETM+)",2001,12,22
2001-12-27,0.243954155189931,"Landsat7 (ETM+)",2001,12,27
2002-01-01,0.241709066318753,"Landsat7 (ETM+)",2002,1,1
2002-01-06,0.238989775834488,"Landsat7 (ETM+)",2002,1,6
2002-01-11,0.23548592800494,"Landsat7 (ETM+)",2002,1,11
2002-01-16,0.230807860684257,"Landsat7 (ETM+)",2002,1,16
2002-01-21,0.225135517517187,"Landsat7 (ETM+)",2002,1,21
2002-01-26,0.218841614883868,"Landsat7 (ETM+)",2002,1,26
2002-01-31,0.212298869164442,"Landsat7 (ETM+)",2002,1,31
2002-02-05,0.20587999673905,"Landsat7 (ETM+)",2002,2,5
2002-02-10,0.199957713987831,"Landsat7 (ETM+)",2002,2,10
2002-02-15,0.194904737290927,"Landsat7 (ETM+)",2002,2,15
2002-02-20,0.191093783028477,"Landsat7 (ETM+)",2002,2,20
2002-02-25,0.188897567580623,"Landsat7 (ETM+)",2002,2,25
2002-03-02,0.188325332215492,"Landsat7 (ETM+)",2002,3,2
2002-03-07,0.188072161636252,"Landsat7 (ETM+)",2002,3,7
2002-03-12,0.187930971707207,"Landsat7 (ETM+)",2002,3,12
2002-03-17,0.187844763717803,"Landsat7 (ETM+)",2002,3,17
2002-03-22,0.187756538957485,"Landsat7 (ETM+)",2002,3,22
2002-03-27,0.187609298715701,"Landsat7 (ETM+)",2002,3,27
2002-04-01,0.18727412221473,"Landsat7 (ETM+)",2002,4,1
2002-04-06,0.184771083481222,"Landsat7 (ETM+)",2002,4,6
2002-04-11,0.180569295390952,"Landsat7 (ETM+)",2002,4,11
2002-04-16,0.176488846540451,"Landsat7 (ETM+)",2002,4,16
