"date","median_ndvi","landsat","year","month","day"
2001-02-24,0.106533065438271,"Landsat7 (ETM+)",2001,2,24
2001-03-01,0.106248458550294,"Landsat7 (ETM+)",2001,3,1
2001-03-06,0.105765673342621,"Landsat7 (ETM+)",2001,3,6
2001-03-11,0.105157214078554,"Landsat7 (ETM+)",2001,3,11
2001-03-16,0.104495585021399,"Landsat7 (ETM+)",2001,3,16
2001-03-21,0.103853290434458,"Landsat7 (ETM+)",2001,3,21
2001-03-26,0.103302834581035,"Landsat7 (ETM+)",2001,3,26
2001-03-31,0.102916721724433,"Landsat7 (ETM+)",2001,3,31
2001-04-05,0.102767456127956,"Landsat7 (ETM+)",2001,4,5
2001-04-10,0.102927542054907,"Landsat7 (ETM+)",2001,4,10
2001-04-15,0.10346948376859,"Landsat7 (ETM+)",2001,4,15
2001-04-20,0.104465785532309,"Landsat7 (ETM+)",2001,4,20
2001-04-25,0.105666167348366,"Landsat7 (ETM+)",2001,4,25
2001-04-30,0.106645872003238,"Landsat7 (ETM+)",2001,4,30
2001-05-05,0.107767151696532,"Landsat7 (ETM+)",2001,5,5
2001-05-10,0.10941451265727,"Landsat7 (ETM+)",2001,5,10
2001-05-15,0.111972461114476,"Landsat7 (ETM+)",2001,5,15
2001-05-20,0.115825503297174,"Landsat7 (ETM+)",2001,5,20
2001-05-25,0.121358145434386,"Landsat7 (ETM+)",2001,5,25
2001-05-30,0.128954893755137,"Landsat7 (ETM+)",2001,5,30
2001-06-04,0.13900025448845,"Landsat7 (ETM+)",2001,6,4
2001-06-09,0.152548903807133,"Landsat7 (ETM+)",2001,6,9
2001-06-14,0.188026440442137,"Landsat7 (ETM+)",2001,6,14
2001-06-19,0.241373837051902,"Landsat7 (ETM+)",2001,6,19
2001-06-24,0.295998451352971,"Landsat7 (ETM+)",2001,6,24
2001-06-29,0.335307641061886,"Landsat7 (ETM+)",2001,6,29
2001-07-04,0.346171207051516,"Landsat7 (ETM+)",2001,7,4
2001-07-09,0.34947542306088,"Landsat7 (ETM+)",2001,7,9
2001-07-14,0.352104586204772,"Landsat7 (ETM+)",2001,7,14
2001-07-19,0.354153758770496,"Landsat7 (ETM+)",2001,7,19
2001-07-24,0.355718003045354,"Landsat7 (ETM+)",2001,7,24
2001-07-29,0.356892381316651,"Landsat7 (ETM+)",2001,7,29
2001-08-03,0.357771955871688,"Landsat7 (ETM+)",2001,8,3
2001-08-08,0.358451788997769,"Landsat7 (ETM+)",2001,8,8
2001-08-13,0.359026942982198,"Landsat7 (ETM+)",2001,8,13
2001-08-18,0.359592480112277,"Landsat7 (ETM+)",2001,8,18
2001-08-23,0.360243462675309,"Landsat7 (ETM+)",2001,8,23
2001-08-28,0.361074952958598,"Landsat7 (ETM+)",2001,8,28
2001-09-02,0.362182013249446,"Landsat7 (ETM+)",2001,9,2
2001-09-07,0.370142077908241,"Landsat7 (ETM+)",2001,9,7
2001-09-12,0.38468411564827,"Landsat7 (ETM+)",2001,9,12
2001-09-17,0.370176238771819,"Landsat7 (ETM+)",2001,9,17
2001-09-22,0.355065508618602,"Landsat7 (ETM+)",2001,9,22
2001-09-27,0.344126434743332,"Landsat7 (ETM+)",2001,9,27
2001-10-02,0.333927082776092,"Landsat7 (ETM+)",2001,10,2
2001-10-07,0.324405997967071,"Landsat7 (ETM+)",2001,10,7
2001-10-12,0.315501725566457,"Landsat7 (ETM+)",2001,10,12
2001-10-17,0.307152810824438,"Landsat7 (ETM+)",2001,10,17
2001-10-22,0.299297798991203,"Landsat7 (ETM+)",2001,10,22
2001-10-27,0.29187523531694,"Landsat7 (ETM+)",2001,10,27
