"date","median_ndvi","landsat","ndvi_interp","year","month","day"
2001-04-01,NA,NA,0.105550865746206,2001,4,1
2001-04-06,NA,NA,0.105344636676212,2001,4,6
2001-04-11,NA,NA,0.105138407606217,2001,4,11
2001-04-16,NA,NA,0.104932178536223,2001,4,16
2001-04-21,0.104725949466228,"Landsat4/5 (TM)",0.104725949466228,2001,4,21
2001-04-26,NA,"Landsat4/5 (TM)",0.104519720396233,2001,4,26
2001-05-01,NA,"Landsat4/5 (TM)",0.104313491326239,2001,5,1
2001-05-06,NA,"Landsat4/5 (TM)",0.104107262256244,2001,5,6
2001-05-11,NA,"Landsat4/5 (TM)",0.10390103318625,2001,5,11
2001-05-16,NA,"Landsat4/5 (TM)",0.103694804116255,2001,5,16
2001-05-21,NA,"Landsat4/5 (TM)",0.103488575046261,2001,5,21
2001-05-26,NA,"Landsat4/5 (TM)",0.103282345976266,2001,5,26
2001-05-31,NA,"Landsat4/5 (TM)",0.103076116906272,2001,5,31
2001-06-05,NA,"Landsat4/5 (TM)",0.102869887836277,2001,6,5
2001-06-10,NA,"Landsat4/5 (TM)",0.102663658766283,2001,6,10
2001-06-15,NA,"Landsat4/5 (TM)",0.102457429696288,2001,6,15
2001-06-20,NA,"Landsat4/5 (TM)",0.102251200626293,2001,6,20
2001-06-25,NA,"Landsat4/5 (TM)",0.102044971556299,2001,6,25
2001-06-30,NA,"Landsat4/5 (TM)",0.101838742486304,2001,6,30
2001-07-05,NA,"Landsat4/5 (TM)",0.10163251341631,2001,7,5
2001-07-10,NA,"Landsat4/5 (TM)",0.101426284346315,2001,7,10
2001-07-15,NA,"Landsat4/5 (TM)",0.101220055276321,2001,7,15
2001-07-20,NA,"Landsat4/5 (TM)",0.101013826206326,2001,7,20
2001-07-25,NA,"Landsat4/5 (TM)",0.100807597136332,2001,7,25
2001-07-30,NA,"Landsat4/5 (TM)",0.100601368066337,2001,7,30
2001-08-04,NA,"Landsat4/5 (TM)",0.100395138996342,2001,8,4
2001-08-09,NA,"Landsat4/5 (TM)",0.100188909926348,2001,8,9
2001-08-14,NA,"Landsat4/5 (TM)",0.0999826808563534,2001,8,14
2001-08-19,NA,"Landsat4/5 (TM)",0.0997764517863588,2001,8,19
2001-08-24,NA,"Landsat4/5 (TM)",0.0995702227163643,2001,8,24
