"date","median_ndvi","landsat","year","month","day"
2001-02-24,0.136080630123615,"Landsat7 (ETM+)",2001,2,24
2001-03-01,0.134452514126546,"Landsat7 (ETM+)",2001,3,1
2001-03-06,0.132096710821981,"Landsat7 (ETM+)",2001,3,6
2001-03-11,0.129279447273638,"Landsat7 (ETM+)",2001,3,11
2001-03-16,0.126266950545235,"Landsat7 (ETM+)",2001,3,16
2001-03-21,0.12332544770049,"Landsat7 (ETM+)",2001,3,21
2001-03-26,0.120721165803122,"Landsat7 (ETM+)",2001,3,26
2001-03-31,0.118720331916847,"Landsat7 (ETM+)",2001,3,31
2001-04-05,0.117589173105385,"Landsat7 (ETM+)",2001,4,5
2001-04-10,0.117593916432453,"Landsat7 (ETM+)",2001,4,10
2001-04-15,0.119000788961769,"Landsat7 (ETM+)",2001,4,15
2001-04-20,0.122076017757051,"Landsat7 (ETM+)",2001,4,20
2001-04-25,0.126823802427487,"Landsat7 (ETM+)",2001,4,25
2001-04-30,0.132811371194683,"Landsat7 (ETM+)",2001,4,30
2001-05-05,0.139996889031695,"Landsat7 (ETM+)",2001,5,5
2001-05-10,0.148352940007522,"Landsat7 (ETM+)",2001,5,10
2001-05-15,0.157852108191166,"Landsat7 (ETM+)",2001,5,15
2001-05-20,0.168466977651627,"Landsat7 (ETM+)",2001,5,20
2001-05-25,0.180170132457904,"Landsat7 (ETM+)",2001,5,25
2001-05-30,0.192934156678997,"Landsat7 (ETM+)",2001,5,30
2001-06-04,0.206731634383907,"Landsat7 (ETM+)",2001,6,4
2001-06-09,0.22175300337476,"Landsat7 (ETM+)",2001,6,9
2001-06-14,0.243643441964076,"Landsat7 (ETM+)",2001,6,14
2001-06-19,0.270216150082894,"Landsat7 (ETM+)",2001,6,19
2001-06-24,0.295124632843542,"Landsat7 (ETM+)",2001,6,24
2001-06-29,0.312022395358347,"Landsat7 (ETM+)",2001,6,29
2001-07-04,0.316065537509347,"Landsat7 (ETM+)",2001,7,4
2001-07-09,0.316890281057807,"Landsat7 (ETM+)",2001,7,9
