date,year,month,day,median_ndvi,landsat
21-04-2001,2001,4,21,0.0978351235389709,Landsat4/5 (TM)
08-06-2001,2001,6,8,0.195454962551594,Landsat4/5 (TM)
12-09-2001,2001,9,12,0.298307418823242,Landsat4/5 (TM)
02-07-2001,2001,7,2,0.218063741922379,Landsat7 (ETM+)
04-09-2001,2001,9,4,0.283754035830498,Landsat7 (ETM+)
20-09-2001,2001,9,20,0.292842298746109,Landsat7 (ETM+)
09-12-2001,2001,12,9,0.160313822329044,Landsat7 (ETM+)
10-01-2002,2002,1,10,0.131110310554504,Landsat7 (ETM+)
27-02-2002,2002,2,27,0.105931907892227,Landsat7 (ETM+)
31-03-2002,2002,3,31,0.124953866004944,Landsat7 (ETM+)
16-04-2002,2002,4,16,0.116829246282578,Landsat7 (ETM+)
