date,year,month,day,median_ndvi,landsat
21-04-2001,2001,4,21,0.10241849347949,Landsat4/5 (TM)
"08-06-2001",2001,6,8,0.304873168468475,Landsat4/5 (TM)
24-06-2001,2001,6,24,nan,Landsat4/5 (TM)
12-09-2001,2001,9,12,0.3406682908535,Landsat4/5 (TM)
24-02-2001,2001,2,24,0.184952706098557,Landsat7 (ETM+)
"02-07-2001",2001,7,2,0.389765292406082,Landsat7 (ETM+)
"04-09-2001",2001,9,4,0.318776294589043,Landsat7 (ETM+)
20-09-2001,2001,9,20,0.322020351886749,Landsat7 (ETM+)
"09-12-2001",2001,12,9,0.252790331840515,Landsat7 (ETM+)
10-01-2002,2002,1,10,0.236269429326057,Landsat7 (ETM+)
27-02-2002,2002,2,27,0.18855469673872,Landsat7 (ETM+)
31-03-2002,2002,3,31,0.187410712242126,Landsat7 (ETM+)
16-04-2002,2002,4,16,0.176488846540451,Landsat7 (ETM+)
18-05-2002,2002,5,18,0.157104939222336,Landsat7 (ETM+)
"03-06-2002",2002,6,3,0.240325033664703,Landsat7 (ETM+)
