date,year,month,day,median_ndvi,landsat
21-04-2001,2001,4,21,0.12291469424963,Landsat4/5 (TM)
"08-06-2001",2001,6,8,0.218495279550552,Landsat4/5 (TM)
24-06-2001,2001,6,24,nan,Landsat4/5 (TM)
12-09-2001,2001,9,12,0.342121660709381,Landsat4/5 (TM)
24-02-2001,2001,2,24,0.136080630123615,Landsat7 (ETM+)
"02-07-2001",2001,7,2,0.315675765275955,Landsat7 (ETM+)
"04-09-2001",2001,9,4,0.320896148681641,Landsat7 (ETM+)
20-09-2001,2001,9,20,0.320978850126266,Landsat7 (ETM+)
"09-12-2001",2001,12,9,0.239133454859257,Landsat7 (ETM+)
10-01-2002,2002,1,10,0.215131968259811,Landsat7 (ETM+)
27-02-2002,2002,2,27,0.151205435395241,Landsat7 (ETM+)
31-03-2002,2002,3,31,0.136597231030464,Landsat7 (ETM+)
16-04-2002,2002,4,16,0.127101495862007,Landsat7 (ETM+)
18-05-2002,2002,5,18,0.128630712628365,Landsat7 (ETM+)
"03-06-2002",2002,6,3,0.14889507740736,Landsat7 (ETM+)
