"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2001-04-21,0.102366454899311,"Landsat7 (ETM+)",2001,4,21,0.102366454899311,0.101841733072433
2001-04-26,0.11863774847158,"Landsat7 (ETM+)",2001,4,26,0.11863774847158,0.119162470298458
2001-05-01,0.13606343006298,"Landsat7 (ETM+)",2001,5,1,0.13606343006298,0.136588151889858
2001-05-06,0.154118777846634,"Landsat7 (ETM+)",2001,5,6,0.154118777846634,0.154118777846634
2001-05-11,0.172279069995663,"Landsat7 (ETM+)",2001,5,11,0.172279069995663,0.172279069995663
2001-05-16,0.19001958468319,"Landsat7 (ETM+)",2001,5,16,0.19001958468319,0.19001958468319
2001-05-21,0.206815600082336,"Landsat7 (ETM+)",2001,5,21,0.206815600082336,0.206815600082336
2001-05-26,0.222142394366225,"Landsat7 (ETM+)",2001,5,26,0.222142394366225,0.222175436205517
2001-05-31,0.235475245707979,"Landsat7 (ETM+)",2001,5,31,0.235475245707979,0.235720645255182
2001-06-05,0.246289432280719,"Landsat7 (ETM+)",2001,6,5,0.246289432280719,0.246292013092571
2001-06-10,0.253713292945004,"Landsat7 (ETM+)",2001,6,10,0.253713292945004,0.252687955367584
2001-06-15,0.255165819597163,"Landsat7 (ETM+)",2001,6,15,0.255165819597163,0.254492092380524
2001-06-20,0.252659212332219,"Landsat7 (ETM+)",2001,6,20,0.252659212332219,0.25265033921556
2001-06-25,0.249198042275599,"Landsat7 (ETM+)",2001,6,25,0.249198042275599,0.249813832506744
2001-06-30,0.247786880552734,"Landsat7 (ETM+)",2001,6,30,0.247786880552734,0.248736053457988
2001-07-05,0.250531094983557,"Landsat7 (ETM+)",2001,7,5,0.250531094983557,0.250551429099169
2001-07-10,0.255318264224722,"Landsat7 (ETM+)",2001,7,10,0.255318264224722,0.25510354435295
2001-07-15,0.26151332764141,"Landsat7 (ETM+)",2001,7,15,0.26151332764141,0.261483720100645
2001-07-20,0.268792103776832,"Landsat7 (ETM+)",2001,7,20,0.268792103776832,0.268792103776832
2001-07-25,0.276830411174198,"Landsat7 (ETM+)",2001,7,25,0.276830411174198,0.276830411174198
2001-07-30,0.285304068376718,"Landsat7 (ETM+)",2001,7,30,0.285304068376718,0.285304068376718
2001-08-04,0.293888893927602,"Landsat7 (ETM+)",2001,8,4,0.293888893927602,0.293888893927602
2001-08-09,0.302260706370059,"Landsat7 (ETM+)",2001,8,9,0.302260706370059,0.302260706370059
2001-08-14,0.3100953242473,"Landsat7 (ETM+)",2001,8,14,0.3100953242473,0.3100953242473
2001-08-19,0.317068566102535,"Landsat7 (ETM+)",2001,8,19,0.317068566102535,0.317068566102535
2001-08-24,0.322856250478974,"Landsat7 (ETM+)",2001,8,24,0.322856250478974,0.323086116596987
2001-08-29,0.327134195919826,"Landsat7 (ETM+)",2001,8,29,0.327134195919826,0.327341902653724
2001-09-03,0.329578220968302,"Landsat7 (ETM+)",2001,9,3,0.329578220968302,0.3285854561688
2001-09-08,0.327450549928471,"Landsat7 (ETM+)",2001,9,8,0.327450549928471,0.32703119519863
2001-09-13,0.321866471996327,"Landsat7 (ETM+)",2001,9,13,0.321866471996327,0.322918301191426
2001-09-18,0.317146238771965,"Landsat7 (ETM+)",2001,9,18,0.317146238771965,0.316892631951383
2001-09-23,0.310147855616637,"Landsat7 (ETM+)",2001,9,23,0.310147855616637,0.309966203029853
2001-09-28,0.302135774536058,"Landsat7 (ETM+)",2001,9,28,0.302135774536058,0.302285297653962
2001-10-03,0.293483448779738,"Landsat7 (ETM+)",2001,10,3,0.293483448779738,0.293509315217139
2001-10-08,0.28429273400447,"Landsat7 (ETM+)",2001,10,8,0.28429273400447,0.28429273400447
2001-10-13,0.274665485867048,"Landsat7 (ETM+)",2001,10,13,0.274665485867048,0.274665485867048
2001-10-18,0.264703560024267,"Landsat7 (ETM+)",2001,10,18,0.264703560024267,0.264703560024267
2001-10-23,0.254508812132921,"Landsat7 (ETM+)",2001,10,23,0.254508812132921,0.254508812132921
2001-10-28,0.244183097849804,"Landsat7 (ETM+)",2001,10,28,0.244183097849804,0.244183097849804
