"date","median_ndvi","landsat","year","month","day"
2001-04-21,0.0978351235389709,"Landsat7 (ETM+)",2001,4,21
2001-04-26,0.108258542692898,"Landsat7 (ETM+)",2001,4,26
2001-05-01,0.119072875124672,"Landsat7 (ETM+)",2001,5,1
2001-05-06,0.130100432980726,"Landsat7 (ETM+)",2001,5,6
2001-05-11,0.141163528407493,"Landsat7 (ETM+)",2001,5,11
2001-05-16,0.152084473551407,"Landsat7 (ETM+)",2001,5,16
2001-05-21,0.1626855805589,"Landsat7 (ETM+)",2001,5,21
2001-05-26,0.172789161576407,"Landsat7 (ETM+)",2001,5,26
2001-05-31,0.182217528750361,"Landsat7 (ETM+)",2001,5,31
2001-06-05,0.190792994227195,"Landsat7 (ETM+)",2001,6,5
2001-06-10,0.198249925088021,"Landsat7 (ETM+)",2001,6,10
2001-06-15,0.203905310171548,"Landsat7 (ETM+)",2001,6,15
2001-06-20,0.208270355942659,"Landsat7 (ETM+)",2001,6,20
2001-06-25,0.212110747649301,"Landsat7 (ETM+)",2001,6,25
2001-06-30,0.216192170539419,"Landsat7 (ETM+)",2001,6,30
2001-07-05,0.220974866284849,"Landsat7 (ETM+)",2001,7,5
2001-07-10,0.225669786518363,"Landsat7 (ETM+)",2001,7,10
2001-07-15,0.230224721821799,"Landsat7 (ETM+)",2001,7,15
2001-07-20,0.234704526656515,"Landsat7 (ETM+)",2001,7,20
2001-07-25,0.239174055483868,"Landsat7 (ETM+)",2001,7,25
2001-07-30,0.243698162765214,"Landsat7 (ETM+)",2001,7,30
2001-08-04,0.24834170296191,"Landsat7 (ETM+)",2001,8,4
2001-08-09,0.253169530535313,"Landsat7 (ETM+)",2001,8,9
2001-08-14,0.258246499946779,"Landsat7 (ETM+)",2001,8,14
2001-08-19,0.263637465657667,"Landsat7 (ETM+)",2001,8,19
2001-08-24,0.269407282129332,"Landsat7 (ETM+)",2001,8,24
2001-08-29,0.275620803823131,"Landsat7 (ETM+)",2001,8,29
2001-09-03,0.282342885200422,"Landsat7 (ETM+)",2001,9,3
2001-09-08,0.291885502752848,"Landsat7 (ETM+)",2001,9,8
2001-09-13,0.298635431883303,"Landsat7 (ETM+)",2001,9,13
2001-09-18,0.295225337025477,"Landsat7 (ETM+)",2001,9,18
2001-09-23,0.289184937864749,"Landsat7 (ETM+)",2001,9,23
2001-09-28,0.282475642131642,"Landsat7 (ETM+)",2001,9,28
2001-10-03,0.275086443443517,"Landsat7 (ETM+)",2001,10,3
2001-10-08,0.267117974348686,"Landsat7 (ETM+)",2001,10,8
2001-10-13,0.25867086739546,"Landsat7 (ETM+)",2001,10,13
2001-10-18,0.249845755132148,"Landsat7 (ETM+)",2001,10,18
2001-10-23,0.240743270107061,"Landsat7 (ETM+)",2001,10,23
2001-10-28,0.231464044868509,"Landsat7 (ETM+)",2001,10,28
2001-11-02,0.222108711964804,"Landsat7 (ETM+)",2001,11,2
2001-11-07,0.212777903944254,"Landsat7 (ETM+)",2001,11,7
2001-11-12,0.203572253355171,"Landsat7 (ETM+)",2001,11,12
2001-11-17,0.194592392745864,"Landsat7 (ETM+)",2001,11,17
2001-11-22,0.185938954664645,"Landsat7 (ETM+)",2001,11,22
2001-11-27,0.177712571659824,"Landsat7 (ETM+)",2001,11,27
2001-12-02,0.17001387627971,"Landsat7 (ETM+)",2001,12,2
2001-12-07,0.162943501072615,"Landsat7 (ETM+)",2001,12,7
2001-12-12,0.156609984300394,"Landsat7 (ETM+)",2001,12,12
2001-12-17,0.151047908142209,"Landsat7 (ETM+)",2001,12,17
2001-12-22,0.146136597877345,"Landsat7 (ETM+)",2001,12,22
2001-12-27,0.141745705657376,"Landsat7 (ETM+)",2001,12,27
2002-01-01,0.137744883633877,"Landsat7 (ETM+)",2002,1,1
2002-01-06,0.13400378395842,"Landsat7 (ETM+)",2002,1,6
2002-01-11,0.130388317746598,"Landsat7 (ETM+)",2002,1,11
2002-01-16,0.126704518264887,"Landsat7 (ETM+)",2002,1,16
2002-01-21,0.122984901381153,"Landsat7 (ETM+)",2002,1,21
2002-01-26,0.119348433006692,"Landsat7 (ETM+)",2002,1,26
2002-01-31,0.1159140790528,"Landsat7 (ETM+)",2002,1,31
2002-02-05,0.11280080543077,"Landsat7 (ETM+)",2002,2,5
2002-02-10,0.110127578051897,"Landsat7 (ETM+)",2002,2,10
2002-02-15,0.108013362827478,"Landsat7 (ETM+)",2002,2,15
2002-02-20,0.106577125668806,"Landsat7 (ETM+)",2002,2,20
2002-02-25,0.105937832487177,"Landsat7 (ETM+)",2002,2,25
2002-03-02,0.10647716881158,"Landsat7 (ETM+)",2002,3,2
2002-03-07,0.108996347058564,"Landsat7 (ETM+)",2002,3,7
2002-03-12,0.112823563617288,"Landsat7 (ETM+)",2002,3,12
2002-03-17,0.117145386662742,"Landsat7 (ETM+)",2002,3,17
2002-03-22,0.121148384369917,"Landsat7 (ETM+)",2002,3,22
2002-03-27,0.124019124913806,"Landsat7 (ETM+)",2002,3,27
2002-04-01,0.124930453459456,"Landsat7 (ETM+)",2002,4,1
2002-04-06,0.123198803441483,"Landsat7 (ETM+)",2002,4,6
2002-04-11,0.119960205285679,"Landsat7 (ETM+)",2002,4,11
2002-04-16,0.116829246282578,"Landsat7 (ETM+)",2002,4,16
