"date","median_ndvi","landsat","year","month","day"
2001-04-21,0.104725949466228,"Landsat7 (ETM+)",2001,4,21
2001-04-26,0.107020071517399,"Landsat7 (ETM+)",2001,4,26
2001-05-01,0.108683066236075,"Landsat7 (ETM+)",2001,5,1
2001-05-06,0.110177385306447,"Landsat7 (ETM+)",2001,5,6
2001-05-11,0.111965480412707,"Landsat7 (ETM+)",2001,5,11
2001-05-16,0.114509803239045,"Landsat7 (ETM+)",2001,5,16
2001-05-21,0.118272805469653,"Landsat7 (ETM+)",2001,5,21
2001-05-26,0.123716938788721,"Landsat7 (ETM+)",2001,5,26
2001-05-31,0.13130465488044,"Landsat7 (ETM+)",2001,5,31
2001-06-05,0.141498405429003,"Landsat7 (ETM+)",2001,6,5
2001-06-10,0.157347079193149,"Landsat7 (ETM+)",2001,6,10
2001-06-15,0.197648295062564,"Landsat7 (ETM+)",2001,6,15
2001-06-20,0.252600274292081,"Landsat7 (ETM+)",2001,6,20
2001-06-25,0.305555134686002,"Landsat7 (ETM+)",2001,6,25
2001-06-30,0.33986499404863,"Landsat7 (ETM+)",2001,6,30
2001-07-05,0.346890617472417,"Landsat7 (ETM+)",2001,7,5
2001-07-10,0.350052217925702,"Landsat7 (ETM+)",2001,7,10
2001-07-15,0.352557777970976,"Landsat7 (ETM+)",2001,7,15
2001-07-20,0.354502359895543,"Landsat7 (ETM+)",2001,7,20
2001-07-25,0.355981025986705,"Landsat7 (ETM+)",2001,7,25
2001-07-30,0.357088838531765,"Landsat7 (ETM+)",2001,7,30
2001-08-04,0.357920859818027,"Landsat7 (ETM+)",2001,8,4
2001-08-09,0.358572152132794,"Landsat7 (ETM+)",2001,8,9
2001-08-14,0.359137777763368,"Landsat7 (ETM+)",2001,8,14
2001-08-19,0.359712798997053,"Landsat7 (ETM+)",2001,8,19
2001-08-24,0.360392278121152,"Landsat7 (ETM+)",2001,8,24
2001-08-29,0.361271277422969,"Landsat7 (ETM+)",2001,8,29
2001-09-03,0.362444859189806,"Landsat7 (ETM+)",2001,9,3
2001-09-08,0.37418151045628,"Landsat7 (ETM+)",2001,9,8
2001-09-13,0.383717410337704,"Landsat7 (ETM+)",2001,9,13
2001-09-18,0.366122310783249,"Landsat7 (ETM+)",2001,9,18
2001-09-23,0.352815566262914,"Landsat7 (ETM+)",2001,9,23
2001-09-28,0.342029353149235,"Landsat7 (ETM+)",2001,9,28
2001-10-03,0.331970570993624,"Landsat7 (ETM+)",2001,10,3
2001-10-08,0.32257776504627,"Landsat7 (ETM+)",2001,10,8
2001-10-13,0.31378948055736,"Landsat7 (ETM+)",2001,10,13
2001-10-18,0.305544262777083,"Landsat7 (ETM+)",2001,10,18
2001-10-23,0.297780656955627,"Landsat7 (ETM+)",2001,10,23
2001-10-28,0.290437208343181,"Landsat7 (ETM+)",2001,10,28
2001-11-02,0.283452462189933,"Landsat7 (ETM+)",2001,11,2
2001-11-07,0.276764963746071,"Landsat7 (ETM+)",2001,11,7
2001-11-12,0.270313258261784,"Landsat7 (ETM+)",2001,11,12
2001-11-17,0.264035890987259,"Landsat7 (ETM+)",2001,11,17
2001-11-22,0.257871407172686,"Landsat7 (ETM+)",2001,11,22
2001-11-27,0.251758352068253,"Landsat7 (ETM+)",2001,11,27
2001-12-02,0.245635270924147,"Landsat7 (ETM+)",2001,12,2
2001-12-07,0.239440708990558,"Landsat7 (ETM+)",2001,12,7
2001-12-12,0.233377368325728,"Landsat7 (ETM+)",2001,12,12
2001-12-17,0.228303523594513,"Landsat7 (ETM+)",2001,12,17
2001-12-22,0.22389586851347,"Landsat7 (ETM+)",2001,12,22
2001-12-27,0.219703303237475,"Landsat7 (ETM+)",2001,12,27
2002-01-01,0.215274727921405,"Landsat7 (ETM+)",2002,1,1
2002-01-06,0.210159042720139,"Landsat7 (ETM+)",2002,1,6
2002-01-11,0.203913067764999,"Landsat7 (ETM+)",2002,1,11
2002-01-16,0.196514713778015,"Landsat7 (ETM+)",2002,1,16
2002-01-21,0.188263636097181,"Landsat7 (ETM+)",2002,1,21
2002-01-26,0.179407282146039,"Landsat7 (ETM+)",2002,1,26
2002-01-31,0.170193099348125,"Landsat7 (ETM+)",2002,1,31
2002-02-05,0.160868535126981,"Landsat7 (ETM+)",2002,2,5
2002-02-10,0.151681036906144,"Landsat7 (ETM+)",2002,2,10
2002-02-15,0.142878052109154,"Landsat7 (ETM+)",2002,2,15
2002-02-20,0.13470702815955,"Landsat7 (ETM+)",2002,2,20
2002-02-25,0.127415412480871,"Landsat7 (ETM+)",2002,2,25
2002-03-02,0.121200283479993,"Landsat7 (ETM+)",2002,3,2
2002-03-07,0.115920412587002,"Landsat7 (ETM+)",2002,3,7
2002-03-12,0.111386578309369,"Landsat7 (ETM+)",2002,3,12
2002-03-17,0.107420595173608,"Landsat7 (ETM+)",2002,3,17
2002-03-22,0.10384427770623,"Landsat7 (ETM+)",2002,3,22
2002-03-27,0.100479440433749,"Landsat7 (ETM+)",2002,3,27
2002-04-01,0.0971713133762933,"Landsat7 (ETM+)",2002,4,1
2002-04-06,0.0944352929545858,"Landsat7 (ETM+)",2002,4,6
2002-04-11,0.0921733044001485,"Landsat7 (ETM+)",2002,4,11
2002-04-16,0.0898774564266205,"Landsat7 (ETM+)",2002,4,16
